target_subject,ra_only_accuracy,ra_imtta_accuracy,tta_gain,best_epoch,best_validation_accuracy,checkpoint_file,checkpoint_sha256
A01,0.8020833333333334,0.8159722222222222,0.01388888888888884,426,0.8434782608695652,loso_target_A01_best.pth,d6c06b77f18d1931ca306a0e4d83c000964ee90ab3b453caa742f727f00465b3
A02,0.4947916666666667,0.5590277777777778,0.0642361111111111,497,0.8782608695652174,loso_target_A02_best.pth,87ccb1dd9d5bd9d3c21bb8c4f4d867fc80f49bda9ed9b618846d2bc37404ba44
A03,0.8854166666666666,0.8854166666666666,0.0,457,0.841304347826087,loso_target_A03_best.pth,8d31348d8597e392041b719557c2e7095ac413bbc1cd466cb299702fa23273d7
A04,0.5486111111111112,0.6336805555555556,0.08506944444444442,429,0.8521739130434782,loso_target_A04_best.pth,54609b6cb2ca8a683f5b2e6f2453d4817b1d04d507d02f5e2c0da5acaba1b697
A05,0.5763888888888888,0.6458333333333334,0.06944444444444453,423,0.8456521739130435,loso_target_A05_best.pth,96c8871fd8351fc4f7f1c289de287723d20d5f9fc6824cf2ab0e427c45a932c4
A06,0.5746527777777778,0.5989583333333334,0.02430555555555558,209,0.8478260869565217,loso_target_A06_best.pth,a3f1b504d785be00f58ba9944d7ac57a04958fbf4397bdc856be5145b494418a
A07,0.734375,0.7743055555555556,0.03993055555555558,470,0.8565217391304348,loso_target_A07_best.pth,ce150d46ff9feab6ebcc49e2db755fc7a068d492cc42c95a39ead443a201ef76
A08,0.7552083333333334,0.7986111111111112,0.04340277777777779,370,0.8521739130434782,loso_target_A08_best.pth,3dfe70b5adaed57dffaeddde3789ee2bcd83812f4d5cdc9d1a783d42b80cf763
A09,0.6788194444444444,0.7204861111111112,0.04166666666666674,349,0.8369565217391305,loso_target_A09_best.pth,85dcf25d24b281d54141db7e09ac590403195a41a3690ba6942576d504fcc276
